DISABLED	ID	parent class	label	Equivalence axiom	Equivalence Override	Subclass axiom	definition	comment	Exact Synonym	Broad Synonym	Minimum	Aves	Bovidae	Suina	Ursidae	Cervidae	Camelidae	Giraffoidea	Hippopotamidae	Cetacea	Canidae	Felidae	Pinnipedia	Musteloidea	Perissodactyla	Diprotodontia	Rodentia	Lagomorpha	Chiroptera	Eulipotyphla	Primates	Bivalvia	Cephalopoda	Gastropoda	Reptilia	Echinodermata	Amphibian	Chelicerata	Crustacea	Hexapoda	Other	Fish
	FOODON:02010035	{organism} fat	{organism} seam fat				{organism} fat that is found between the muscle of a meat cut.						beef|lamb|veal																													
	FOODON:02010036	{organism} fat	{organism} fat (raw)	'{organism} fat' and 'has quality' some 'raw'			Raw {organism} fat.					chicken|turkey|duck|goose	beef|lamb|veal|sheep	pork									steller sea lion|walrus																			
	FOODON:02010037	{organism} fat	{organism} external fat (raw)	'{organism} external fat' and 'has quality' some 'raw'			Raw external {organism} fat.						beef|lamb|wagyu beef																													
	FOODON:02010038	{organism} fat	{organism} seam fat (raw)	'{organism} seam fat' and 'has quality' some 'raw'			Raw {organism} seam fat.						beef|lamb																													
	FOODON:02010039	piece of {organism_base}	{organism} blubber	'animal fat' and 'in taxon' some {taxon}	'piece of animal' and 'derives from' some blubber		Blubber that is derived from a{n} {organism}.																																			bowhead whale
	FOODON:02010042	{organism} organ	{organism} heart	'animal heart' and 'in taxon' some {taxon}	'animal organ' and 'derives from' some 'heart'		A whole animal heart that is obtained from a{n} {organism}.					chicken|turkey	beef|veal|lamb	pork									steller sea lion																			
	FOODON:02010043	{organism} organ	{organism} brain	'animal brain' and 'in taxon' some {taxon}	'animal organ' and 'derives from' some 'brain'		A whole animal brain that is obtained from a{n} {organism}.					chicken|turkey	beef|veal|lamb	pork																												
	FOODON:02010044	{organism} organ	{organism} kidney	'animal kidney' and 'in taxon' some {taxon}	'animal organ' and 'derives from' some 'kidney'		A whole animal kidney that is obtained from a{n} {organism}.					chicken|turkey	beef|veal|lamb|sheep	pork									steller sea lion																			
	FOODON:02010045	{organism} organ	{organism} liver	'animal liver' and 'in taxon' some {taxon}	'animal organ' and 'derives from' some 'liver'		A whole animal liver that is obtained from a{n} {organism}.					chicken|turkey|duck|goose	beef|veal|lamb|sheep	pork		reindeer|moose							steller sea lion|walrus					rabbit														
	FOODON:02010046	{organism} organ	{organism} spleen	'animal spleen' and 'in taxon' some {taxon}	'animal organ' and 'derives from' some 'spleen'		A whole animal spleen that is obtained from a{n} {organism}.					chicken	beef|veal|lamb	pork																												
	FOODON:02010047	{organism} organ	{organism} lung	'animal lung' and 'in taxon' some {taxon}	'animal organ' and 'derives from' some 'lung'		A whole animal lung that is obtained from a{n} {organism}.						beef|veal|lamb|sheep	pork																												
	FOODON:02010048	{organism} organ	{organism} gizzard	'animal gizzard' and 'in taxon' some {taxon}	'animal organ' and 'derives from' some 'gizzard'		A whole animal gizzard that is obtained from a{n} {organism}.					chicken|turkey																														
	FOODON:02010049	{organism} organ	{organism} tongue	'animal tongue' and 'in taxon' some {taxon}	'animal organ' and 'derives from' some 'tongue'		A whole animal tongue that is obtained from a{n} {organism}.					chicken|turkey	beef|veal|lamb	pork		reindeer																										
	FOODON:02010050	{organism} organ	{organism} rectum	done	'animal organ' and 'derives from' some 'rectum'		A whole animal rectum that is obtained from a{n} {organism}.																																			
	FOODON:02010051	{organism} organ	{organism} thymus	'animal thymus' and 'in taxon' some {taxon}	'animal organ' and 'derives from' some 'thymus'		A whole animal thymus that is obtained from a{n} {organism}.						beef|veal|lamb	pork																												
	FOODON:02010052	{organism} organ	{organism} pancreas	'animal pancreas' and 'in taxon' some {taxon}	'animal organ' and 'derives from' some 'pancreas'		A whole animal pancreas that is obtained from a{n} {organism}.						beef|veal|lamb	pork																												
	FOODON:02010053	{organism} organ	{organism} ovary	'animal ovary' and 'in taxon' some {taxon}	'animal organ' and 'derives from' some 'ovary'		A whole animal ovary that is obtained from a{n} {organism}.																																			
	FOODON:02010054	{organism} organ	{organism} testicle	'animal testicle' and 'in taxon' some {taxon}	'animal organ' and 'derives from' some 'testis'		A whole animal testicle that is obtained from a{n} {organism}.		{organism} testis				beef|lamb																													
